County,Population2022,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,,,,,
Accomack,33191,Northumberland,Lancaster,Middlesex,Mathews,Northampton,,,,,,,,,,
Albemarle,114534,CharlottesvilleCity,Nelson,Augusta,Rockingham,Greene,Orange,Louisa,Fluvanna,Buckingham,,,,,,
AlexandriaCity,155525,Fairfax,Arlington,,,,,,,,,,,,,
Alleghany,14835,Craig,Bath,Botetourt,CovingtonCity,,,,,,,,,,,
Amelia,13455,PrinceEdward,Cumberland,Powhatan,Chesterfield,Dinwiddie,Nottoway,,,,,,,,,
Amherst,31589,Rockbridge,Nelson,Appomattox,Campbell,Bedford,LynchburgCity,,,,,,,,,
Appomattox,16748,Campbell,Amherst,Nelson,Buckingham,PrinceEdward,Charlotte,,,,,,,,,
Arlington,234000,Fairfax,FallsChurchCity,AlexandriaCity,,,,,,,,,,,,
Augusta,78064,Highland,Rockingham,Albemarle,Nelson,Rockbridge,Bath,StauntonCity,WaynesboroCity,,,,,,,
Bath,4049,Alleghany,Highland,Augusta,Rockbridge,,,,,,,,,,,
Bedford,80848,Roanoke,Botetourt,Rockbridge,Amherst,LynchburgCity,Campbell,Pittsylvania,Franklin,,,,,,,
Bland,6148,Tazewell,Giles,Wythe,,,,,,,,,,,,
Botetourt,34135,Craig,Alleghany,Rockbridge,Bedford,Roanoke,,,,,,,,,,
BristolCity,16975,Washington,,,,,,,,,,,,,,
Brunswick,15921,Mecklenburg,Lunenburg,Nottoway,Dinwiddie,Greensville,,,,,,,,,,
Buchanan,19352,Russell,Tazewell,Dickenson,,,,,,,,,,,,
Buckingham,16982,Appomattox,Nelson,Albemarle,Fluvanna,Cumberland,PrinceEdward,,,,,,,,,
BuenaVistaCity,6591,Rockbridge,,,,,,,,,,,,,,
Campbell,55141,Bedford,LynchburgCity,Amherst,Appomattox,Charlotte,Halifax,Pittsylvania,,,,,,,,
Caroline,31957,Hanover,Spotsylvania,KingGeorge,Stafford,Essex,KingAndQueen,KingWilliam,,,,,,,,
Carroll,29147,GalaxCity,Wythe,Pulaski,Floyd,Patrick,,,,,,,,,,
CharlesCity,6605,Henrico,NewKent,JamesCity,PrinceGeorge,Chesterfield,Surry,HopewellCity,,,,,,,,
Charlotte,11475,Halifax,Campbell,Appomattox,PrinceEdward,Lunenburg,Mecklenburg,,,,,,,,,
CharlottesvilleCity,45373,Albemarle,,,,,,,,,,,,,,
ChesapeakeCity,252488,SuffolkCity,VirginiaBeachCity,PortsmouthCity,NortonCity,,,,,,,,,,,
Chesterfield,378408,Amelia,Powhatan,RichmondCity,ColonialHeightsCity,HopewellCity,PrinceGeorge,Dinwiddie,CharlesCity,,,,,,,
Clarke,15266,Frederick,Warren,Fauquier,Loudoun,,,,,,,,,,,
ColonialHeightsCity,18294,Chesterfield,PrinceGeorge,PetersburgCity,Dinwiddie,,,,,,,,,,,
CovingtonCity,5679,Alleghany,,,,,,,,,,,,,,
Craig,4847,Giles,Montgomery,Roanoke,Botetourt,Alleghany,,,,,,,,,,
Culpeper,54381,Madison,Rappahannock,Fauquier,Stafford,Spotsylvania,Orange,,,,,,,,,
Cumberland,9746,Buckingham,Fluvanna,Goochland,Powhatan,Amelia,PrinceEdward,,,,,,,,,
DanvilleCity,42229,Pittsylvania,,,,,,,,,,,,,,
Dickenson,13725,Wise,Buchanan,Russell,,,,,,,,,,,,
Dinwiddie,28161,Brunswick,Nottoway,Amelia,Chesterfield,PetersburgCity,ColonialHeightsCity,PrinceGeorge,Sussex,Greensville,,,,,,
EmporiaCity,5481,Greensville,,,,,,,,,,,,,,
Essex,10630,Caroline,KingGeorge,Richmond,Lancaster,Middlesex,KingAndQueen,Caroline,,,,,,,,
Fairfax,1138331,FairfaxCity,FallsChurchCity,Loudoun,PrinceWilliam,ManassasParkCity,Arlington,AlexandriaCity,,,,,,,,
FairfaxCity,24835,Fairfax,,,,,,,,,,,,,,
FallsChurchCity,14586,Fairfax,Arlington,,,,,,,,,,,,,
Fauquier,74664,Culpeper,Rappahannock,Warren,Clarke,Loudoun,PrinceWilliam,Stafford,,,,,,,,
Floyd,15619,Pulaski,Carroll,Montgomery,Roanoke,Franklin,Patrick,,,,,,,,,
Fluvanna,28159,Albemarle,Louisa,Goochland,Cumberland,Buckingham,,,,,,,,,,
Franklin,55074,Floyd,Roanoke,Bedford,Pittsylvania,Henry,Patrick,,,,,,,,,
FranklinCity,8247,Southampton,IsleOfWight,,,,,,,,,,,,,
Frederick,95051,Shenandoah,Warren,Clarke,WilliamsburgCity,,,,,,,,,,,
FredericksburgCity,28757,Spotsylvania,Stafford,,,,,,,,,,,,,
GalaxCity,6730,Grayson,Carroll,,,,,,,,,,,,,
Giles,16453,Bland,Craig,Pulaski,,,,,,,,,,,,
Gloucester,39493,KingWilliam,KingAndQueen,Middlesex,Mathews,York,Northampton,PoquosonCity,JamesCity,NewKent,KingWilliam,,,,,
Goochland,26109,Fluvanna,Louisa,Hanover,Henrico,Chesterfield,Powhatan,Cumberland,,,,,,,,
Grayson,15343,Washington,Smyth,Wythe,Carroll,GalaxCity,,,,,,,,,,
Greene,21107,Albemarle,Rockingham,Page,Madison,Orange,,,,,,,,,,
Greensville,11226,Brunswick,Sussex,Dinwiddie,Southampton,EmporiaCity,,,,,,,,,,
Halifax,33644,Pittsylvania,Campbell,Charlotte,Mecklenburg,,,,,,,,,,,
HamptonCity,138037,PoquosonCity,York,NewportNewsCity,NorfolkCity,PortsmouthCity,Northampton,Mathews,,,,,,,,
Hanover,112938,Louisa,Spotsylvania,Caroline,KingWilliam,NewKent,Henrico,Goochland,,,,,,,,
HarrisonburgCity,51158,Rockingham,,,,,,,,,,,,,,
Henrico,333962,Goochland,Hanover,NewKent,CharlesCity,Chesterfield,RichmondCity,,,,,,,,,
Henry,49906,Patrick,Franklin,Pittsylvania,MartinsvilleCity,,,,,,,,,,,
Highland,2301,Bath,Augusta,,,,,,,,,,,,,
HopewellCity,22962,PrinceGeorge,Chesterfield,CharlesCity,,,,,,,,,,,,
IsleOfWight,40151,SuffolkCity,Southampton,Surry,FranklinCity,WilliamsburgCity,NewportNewsCity,,,,,,,,,
JamesCity,81199,CharlesCity,NewKent,Gloucester,York,WilliamsburgCity,Surry,,,,,,,,,
KingAndQueen,6718,Caroline,Essex,Middlesex,Gloucester,KingWilliam,,,,,,,,,,
KingGeorge,27856,Stafford,Caroline,Westmoreland,Essex,,,,,,,,,,,
KingWilliam,18492,Hanover,Caroline,KingAndQueen,Gloucester,NewKent,,,,,,,,,,
Lancaster,10750,Northumberland,Richmond,Essex,Middlesex,Accomack,Northampton,,,,,,,,,
Lee,21982,Wise,Scott,,,,,,,,,,,,,
LexingtonCity,7457,Rockbridge,,,,,,,,,,,,,,
Loudoun,432085,Clarke,Fauquier,Fairfax,,,,,,,,,,,,
Louisa,40116,Albemarle,Orange,Spotsylvania,Hanover,Goochland,Fluvanna,,,,,,,,,
Lunenburg,12031,Mecklenburg,Charlotte,PrinceEdward,Nottoway,Brunswick,,,,,,,,,,
LynchburgCity,79287,Bedford,Amherst,Campbell,,,,,,,,,,,,
Madison,14000,Greene,Page,Rappahannock,Culpeper,Orange,,,,,,,,,,
ManassasCity,42642,PrinceWilliam,ManassasParkCity,,,,,,,,,,,,,
ManassasParkCity,16703,PrinceWilliam,Fairfax,,,,,,,,,,,,,
MartinsvilleCity,13725,Henry,,,,,,,,,,,,,,
Mathews,8490,Gloucester,Middlesex,Northampton,Accomack,PoquosonCity,,,,,,,,,,
Mecklenburg,30508,Halifax,Charlotte,Lunenburg,Brunswick,,,,,,,,,,,
